国名	1人当たりの年間保健支出	人口1000人当たりの医師数	人口1000人当たりの看護師
アイスランド	4349	3.9	14.5
アイルランド	4915	3.1	12.2
イスラエル	2780	3.1	5.1
イタリア	3428	4	5.8
英国	4070	2.8	7.8
エストニア	2231	3.5	6.2
オーストラリア	5005	3.7	11.7
オーストリア	5395	5.2	6.9
オランダ	5288	3.6	10.9
カナダ	4974	2.7	10
韓国	3192	2.3	6.9
ギリシャ	2238	6.1	3.3
スイス	7317	4.3	17.2
スウェーデン	5447	4.1	10.9
スペイン	3323	3.9	5.7
スロバキア	2290	3.4	5.7
スロベニア	2859	3.1	9.9
チェコ	3058	3.7	8.1
チリ	2182	2.5	2.7
デンマーク	5299	4	10
ドイツ	5986	4.3	12.9
トルコ	1227	1.9	2.1
日本	4766	2.4	11.3
ニュージーランド	3923	3.3	10.2
ノルウェー	6187	4.7	17.7
ハンガリー	2047	3.3	6.5
フィンランド	4228	3.2	14.3
フランス	4965	3.2	10.5
米国	10586	2.6	11.7
ベルギー	4944	3.1	11
ポーランド	2056	2.4	5.1
ポルトガル	2861	5	6.7
メキシコ	1138	2.4	2.9
ラトビア	1749	3.2	4.6
リトアニア	2416	4.6	7.7
ルクセンブルク	5070	3	11.7
