Div.                   Backward diff.         Abs error            
1.000000000000000e+00  1.718281828459045e+00  1.000000000000000e+00
5.000000000000000e-01  2.139121115517834e+00  5.791607129412113e-01
2.500000000000000e-01  2.405127247385481e+00  3.131545810735639e-01
1.250000000000000e-01  2.555252275935576e+00  1.630295525234691e-01
6.250000000000000e-02  2.635077926337893e+00  8.320390212115258e-02
3.125000000000000e-02  2.676247668589241e+00  4.203415986980419e-02
1.562500000000000e-02  2.697155428132362e+00  2.112640032668312e-02
7.812500000000000e-03  2.707691137936138e+00  1.059069052290740e-02
3.906250000000000e-03  2.712979590465352e+00  5.302237993693115e-03
1.953125000000000e-03  2.715628983754414e+00  2.652844704631452e-03
9.765625000000000e-04  2.716954974363489e+00  1.326854095556218e-03
4.882812500000000e-04  2.717618293435407e+00  6.635350236376958e-04
2.441406250000000e-04  2.717950033948000e+00  3.317945110450360e-04
1.220703125000000e-04  2.718115924453741e+00  1.659040053039185e-04
6.103515625000000e-05  2.718198874768859e+00  8.295369018584964e-05
