Div.                   Central diff.          Abs error            
1.000000000000000e+00  3.194528049465325e+00  4.762462210062801e-01
5.000000000000000e-01  2.832967799637936e+00  1.146859711788912e-01
2.500000000000000e-01  2.746685881698333e+00  2.840405323928819e-02
1.250000000000000e-01  2.725366219803732e+00  7.084391344686747e-03
6.250000000000000e-02  2.720051888870675e+00  1.770060411629526e-03
3.125000000000000e-02  2.718724278745526e+00  4.424502864810442e-04
1.562500000000000e-02  2.718392436979983e+00  1.106085209374719e-04
7.812500000000000e-03  2.718309480336103e+00  2.765187705788819e-05
3.906250000000000e-03  2.718288741412493e+00  6.912953448345860e-06
1.953125000000000e-03  2.718283556696406e+00  1.728237360776319e-06
9.765625000000000e-04  2.718282260518208e+00  4.320591631135073e-07
4.882812500000000e-04  2.718281936473431e+00  1.080143863241290e-07
2.441406250000000e-04  2.718281855462919e+00  2.700387424781070e-08
1.220703125000000e-04  2.718281835210291e+00  6.751246228731134e-09
6.103515625000000e-05  2.718281830148044e+00  1.688998718663015e-09
