Div.                   Forward diff.          Abs error            
1.000000000000000e+00  4.670774270471606e+00  1.952492442012561e+00
5.000000000000000e-01  3.526814483758039e+00  8.085326552989938e-01
2.500000000000000e-01  3.088244516011185e+00  3.699626875521402e-01
1.250000000000000e-01  2.895480163671888e+00  1.771983352128426e-01
6.250000000000000e-02  2.805025851403457e+00  8.674402294441164e-02
3.125000000000000e-02  2.761200888901811e+00  4.291906044276628e-02
1.562500000000000e-02  2.739629445827603e+00  2.134761736855806e-02
7.812500000000000e-03  2.728927822736068e+00  1.064599427702317e-02
3.906250000000000e-03  2.723597892359635e+00  5.316063900589807e-03
1.953125000000000e-03  2.720938129638398e+00  2.656301179353005e-03
9.765625000000000e-04  2.719609546672928e+00  1.327718213882445e-03
4.882812500000000e-04  2.718945579511455e+00  6.637510524103440e-04
2.441406250000000e-04  2.718613676977839e+00  3.318485187935316e-04
1.220703125000000e-04  2.718447745966842e+00  1.659175077963759e-04
6.103515625000000e-05  2.718364785527228e+00  8.295706818328696e-05
