   0  5.000000000000000e-01  1.417143708728827e-01  -1.953941719835239e+00
   1  6.379130634673194e-01  3.801307405563392e-03  -5.572410217327206e+00  2.682372565428210e-02
   2  6.413098995005826e-01  4.044713723001525e-04  -7.812929597023033e+00  1.064032263500157e-01
   3  6.416706158569154e-01  4.375501596731724e-05  -1.003690430105100e+01  1.081782765452366e-01
   4  6.417096293027914e-01  4.741570091337799e-06  -1.225914223420784e+01  1.083663206723433e-01
   5  6.417138569499682e-01  5.139229145578739e-07  -1.448119255441541e+01  1.083866535046568e-01
   6  6.417143151693655e-01  5.570351724326628e-08  -1.670322254580814e+01  1.083888568992644e-01
   7  6.417143648352288e-01  6.037653932366993e-09  -1.892525032224852e+01  1.083890969756825e-01
   8  6.417143702184667e-01  6.544160768839902e-10  -2.114727776357627e+01  1.083891332982435e-01
   9  6.417143708019512e-01  7.093159393178894e-11  -2.336930516906814e+01  1.083891371824643e-01
  10  6.417143708651945e-01  7.688294445529209e-12  -2.559132214562752e+01  1.083902675713537e-01
  11  6.417143708720493e-01  8.334444245861050e-13  -2.781320937210410e+01  1.084043321299639e-01
  12  6.417143708727924e-01  9.037215420448774e-14  -3.003484020367456e+01  1.084321300119888e-01
  13  6.417143708728729e-01  9.880984919163893e-15  -3.224816419994496e+01  1.093366093366093e-01
  14  6.417143708728816e-01  1.110223024625157e-15  -3.443421547668306e+01  1.123595505617978e-01
