              N  Approx. value         Abs error           
              2  8.356136978914587e-02  1.736382048571544e-02
              4  9.384606931530566e-02  7.079120959555652e-03
              8  7.861553421525887e-02  2.230965605960245e-02
             16  7.982647264227043e-02  2.109871763259089e-02
             32  9.680646055061390e-02  4.118729724247414e-03
             64  1.035787759201841e-01  2.653585645322809e-03
            128  1.071279285418551e-01  6.202738266993760e-03
            256  9.782834139217775e-02  3.096848882683564e-03
            512  9.982492233929814e-02  1.100267935563171e-03
           1024  1.015991503436279e-01  6.739600687665492e-04
           2048  1.026587756634068e-01  1.733585388545525e-03
           4096  1.003363120189142e-01  5.888782559471395e-04
           8192  1.004009491227705e-01  5.242411520908208e-04
          16384  1.012837207191732e-01  3.585304443119164e-04
          32768  1.006525968167276e-01  2.725934581337408e-04
          65536  1.008077885432163e-01  1.174017316449977e-04
         131072  1.010533984775254e-01  1.282082026640430e-04
         262144  1.008932446443234e-01  3.194563053790511e-05
         524288  1.008788115979122e-01  4.637867694912146e-05
        1048576  1.009793208274250e-01  5.413055256363319e-05
